Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Exam_Score,Pass
1,0,2,1,0,1,64,0
2,2,0,2,0,1,73,1
1,0,1,2,1,2,63,0
0,2,0,2,0,0,65,1
3,3,2,2,0,3,73,1
3,1,2,3,1,2,70,1
3,0,3,3,1,1,68,1
0,2,1,0,0,1,65,1
3,2,3,2,0,0,71,1
0,2,0,1,1,0,64,0
2,1,2,1,2,1,68,1
3,0,0,2,0,2,69,1
0,3,1,2,0,2,69,1
1,3,2,3,0,2,69,1
2,1,3,0,0,0,67,1
1,3,2,1,2,3,68,1
0,1,2,0,1,1,64,0
1,1,0,2,0,2,66,1
0,0,1,3,2,1,63,0
2,1,1,2,0,0,66,1
0,2,3,2,0,1,66,1
3,0,1,0,2,1,67,1
0,1,3,1,0,0,65,1
1,3,0,2,0,1,68,1
3,2,3,0,0,0,68,1
0,2,0,3,0,0,65,1
2,3,2,1,1,0,71,1
3,0,0,2,0,1,65,1
0,2,2,1,2,0,64,0
2,3,0,3,0,0,72,1
2,2,3,0,1,0,65,1
3,1,2,0,0,3,66,1
0,0,0,3,0,2,61,0
0,3,2,0,1,1,68,1
2,1,2,2,2,1,69,1
2,3,0,1,0,1,72,1
2,2,0,2,1,1,71,1
2,2,0,2,1,1,70,1
0,3,0,2,0,0,68,1
2,2,0,0,1,0,67,1
2,1,2,3,0,2,68,1
0,2,2,1,2,0,68,1
3,3,0,2,1,2,72,1
2,1,0,1,0,0,65,1
0,1,0,3,1,2,66,1
2,0,2,3,0,1,65,1
0,3,0,1,1,1,67,1
3,0,0,3,1,2,66,1
3,2,1,1,0,2,69,1
0,1,2,3,0,1,66,1
3,1,0,0,2,1,69,1
2,2,1,1,0,0,67,1
3,0,0,1,0,1,66,1
3,2,3,2,1,1,71,1
1,3,0,0,2,2,70,1
0,3,0,1,1,2,71,1
0,0,1,2,0,1,66,1
0,3,1,0,2,0,67,1
1,2,2,0,0,2,66,1
2,3,3,2,0,0,72,1
2,1,3,3,0,1,68,1
3,2,0,2,2,1,69,1
1,3,1,2,1,1,71,1
3,3,3,0,0,0,70,1
1,1,3,3,1,2,67,1
3,1,0,0,1,0,69,1
2,1,2,1,1,0,65,1
0,1,2,0,0,2,65,1
0,1,2,2,1,2,64,0
2,1,3,1,0,0,63,0
1,3,0,3,2,0,69,1
2,0,0,0,0,3,64,0
2,2,2,3,0,1,72,1
1,0,1,2,0,2,63,0
0,1,0,1,2,1,64,0
0,0,0,2,2,2,64,0
1,1,2,3,2,0,67,1
3,3,2,1,1,0,71,1
2,3,0,0,0,2,70,1
0,0,3,3,0,2,61,0
2,1,1,1,1,2,67,1
2,1,0,3,2,1,72,1
0,3,0,2,0,3,66,1
2,3,0,2,0,0,70,1
1,2,0,0,2,2,67,1
0,2,0,1,1,1,67,1
2,3,1,1,1,0,71,1
2,0,2,1,0,2,66,1
3,1,0,0,0,2,68,1
3,3,1,1,2,1,74,1
0,2,0,0,0,1,64,0
0,2,2,1,0,1,65,1
2,2,0,0,0,1,66,1
2,1,2,2,0,1,66,1
2,2,0,2,1,3,68,1
3,2,1,3,1,0,78,1
2,1,0,1,0,0,67,1
3,2,0,3,2,1,74,1
3,3,0,2,0,0,74,1
2,0,3,2,0,0,62,0
1,1,0,2,1,2,66,1
3,1,0,3,2,1,69,1
0,2,3,0,1,1,68,1
1,0,1,0,0,0,89,1
1,2,0,0,1,2,66,1
1,3,1,1,1,1,68,1
3,1,1,2,0,1,69,1
0,3,0,2,0,2,67,1
2,3,0,2,1,3,75,1
0,0,1,1,0,2,60,0
1,0,3,2,1,2,66,1
3,3,1,0,0,1,73,1
1,3,1,0,0,0,68,1
0,0,0,2,0,1,62,0
0,0,3,2,1,0,62,0
2,0,2,2,0,2,65,1
0,3,2,0,1,1,69,1
2,0,1,3,2,0,64,0
1,1,0,3,0,2,67,1
0,3,3,2,0,0,70,1
3,0,1,3,1,1,70,1
2,2,1,1,2,1,69,1
0,1,2,1,0,1,61,0
2,3,1,3,0,0,69,1
0,1,0,1,0,0,63,0
3,2,1,1,0,2,67,1
0,2,0,0,0,3,65,1
1,0,1,0,2,2,66,1
2,0,3,0,2,0,63,0
3,1,0,2,1,1,68,1
0,1,1,1,0,2,65,1
1,3,2,0,0,1,67,1
1,3,2,1,1,1,68,1
0,1,0,2,0,1,64,0
3,2,0,2,0,1,71,1
2,2,0,3,0,3,69,1
0,3,3,1,0,1,67,1
3,1,0,1,1,1,65,1
3,1,0,2,0,0,68,1
3,1,0,0,0,1,67,1
0,2,0,2,2,2,67,1
1,1,1,1,1,1,66,1
3,1,3,1,1,2,70,1
0,0,0,1,2,2,65,1
2,2,1,0,2,2,69,1
3,0,1,1,0,2,65,1
0,0,0,1,0,1,63,0
1,1,0,3,1,0,67,1
0,0,0,3,0,1,61,0
0,2,0,2,0,0,65,1
1,1,2,3,0,0,66,1
0,1,2,2,0,1,66,1
3,2,0,1,0,0,69,1
0,0,0,2,1,1,63,0
1,0,0,0,0,3,65,1
2,3,3,2,0,2,67,1
3,1,1,0,1,1,69,1
0,1,0,3,2,0,65,1
3,0,0,2,0,1,65,1
1,1,0,0,0,0,65,1
0,2,2,3,1,3,67,1
2,2,2,3,0,0,66,1
2,2,1,3,2,1,72,1
0,0,1,3,2,1,66,1
1,0,1,2,1,2,65,1
1,3,1,1,0,1,69,1
2,3,0,0,1,0,68,1
2,0,1,1,0,0,64,0
3,1,0,1,2,2,69,1
0,0,0,1,0,0,59,0
3,0,3,2,0,1,68,1
0,1,1,0,0,1,60,0
1,0,1,0,0,1,62,0
2,2,0,2,0,1,67,1
2,2,2,0,2,3,68,1
0,0,0,0,2,1,64,0
1,0,1,1,2,1,65,1
1,3,0,0,1,0,65,1
0,0,2,3,0,1,63,0
3,2,0,2,1,1,70,1
2,1,3,1,2,1,66,1
0,2,1,0,2,1,68,1
3,1,2,1,2,1,66,1
2,0,2,2,2,0,63,0
3,0,3,3,0,1,66,1
2,0,0,1,0,1,65,1
0,1,2,2,0,0,66,1
1,2,0,0,1,1,67,1
2,1,1,2,0,1,66,1
2,0,0,0,2,1,63,0
1,2,0,0,2,2,66,1
2,2,0,1,0,1,67,1
3,3,0,0,0,1,71,1
0,2,1,2,0,0,67,1
2,1,0,3,0,2,69,1
1,2,1,1,1,2,67,1
1,3,0,1,1,0,72,1
3,3,0,0,1,2,70,1
3,1,1,1,0,2,67,1
3,0,1,2,0,1,64,0
3,1,2,1,0,0,67,1
1,1,2,2,2,2,69,1
2,2,1,2,0,1,68,1
1,1,2,0,1,1,63,0
2,0,1,2,2,1,68,1
1,2,1,3,0,1,70,1
2,3,2,0,0,0,66,1
2,1,0,2,0,3,68,1
0,2,0,2,0,1,67,1
3,1,0,2,0,3,69,1
0,3,3,1,0,1,66,1
0,3,1,3,2,1,68,1
3,2,1,2,1,0,69,1
3,2,1,1,0,1,70,1
2,3,2,2,0,1,74,1
2,1,1,3,0,0,70,1
1,1,1,3,0,0,66,1
0,2,2,3,0,1,69,1
1,0,0,0,0,1,64,0
0,1,2,0,0,0,62,0
3,3,1,2,0,1,70,1
1,2,1,0,1,2,68,1
0,1,0,2,0,1,65,1
1,0,1,0,2,1,65,1
2,1,0,1,2,2,71,1
1,1,3,2,1,3,66,1
0,0,0,1,0,1,61,0
2,2,2,0,1,3,67,1
2,0,0,3,0,0,65,1
1,1,2,2,0,1,65,1
1,1,0,2,0,3,65,1
2,3,2,2,2,2,73,1
0,1,1,1,0,0,62,0
0,0,0,1,0,0,60,0
0,0,3,0,0,1,61,0
1,2,2,3,1,1,67,1
2,2,2,1,2,2,70,1
3,1,0,2,0,0,69,1
3,1,2,1,0,3,66,1
1,0,0,3,1,1,64,0
1,2,0,0,0,0,68,1
0,1,0,2,0,2,67,1
1,0,0,3,0,0,64,0
1,0,0,2,1,0,65,1
2,0,0,2,1,1,66,1
0,0,0,2,1,2,63,0
2,2,0,2,1,0,68,1
3,0,0,0,0,2,66,1
1,0,1,0,2,3,63,0
2,0,1,2,0,1,63,0
2,3,0,3,0,2,74,1
1,3,3,2,0,0,70,1
2,0,1,2,1,1,68,1
1,1,1,2,0,2,66,1
2,0,2,3,0,2,63,0
0,1,0,3,2,1,67,1
1,0,1,2,0,1,62,0
2,2,2,0,0,1,71,1
3,2,1,1,1,2,72,1
3,3,0,0,0,0,72,1
3,0,0,3,0,1,68,1
0,3,1,1,0,3,66,1
3,3,0,2,0,1,70,1
2,0,0,3,1,2,66,1
3,1,3,3,0,1,72,1
0,0,2,3,0,2,64,0
0,0,3,0,0,1,63,0
0,1,2,0,0,0,61,0
0,2,2,0,0,0,62,0
1,1,1,2,0,2,68,1
0,3,2,1,0,1,68,1
2,0,3,0,0,3,63,0
2,3,2,2,0,2,70,1
3,0,1,0,0,1,68,1
3,3,1,2,0,3,72,1
1,1,2,2,2,1,67,1
0,0,0,2,0,0,61,0
2,3,2,3,0,1,69,1
0,1,0,1,1,0,61,0
3,2,0,1,2,1,75,1
3,2,0,0,0,0,68,1
1,1,0,1,0,2,65,1
0,1,0,3,2,1,67,1
3,2,3,3,2,3,75,1
1,0,0,3,0,1,64,0
3,2,2,2,0,2,70,1
0,3,0,2,0,2,67,1
0,0,1,2,1,1,63,0
1,0,1,1,0,2,65,1
1,2,0,0,0,1,67,1
1,1,0,0,1,1,86,1
2,1,0,1,2,1,67,1
0,0,0,0,0,2,63,0
1,1,1,3,0,1,66,1
2,0,1,2,1,0,65,1
2,1,0,2,0,1,67,1
2,3,1,0,0,2,69,1
0,0,0,2,1,0,66,1
0,1,1,2,0,0,64,0
3,3,0,1,0,0,73,1
2,2,2,2,0,0,66,1
0,3,3,3,0,2,68,1
3,1,2,2,0,2,70,1
2,3,3,1,1,0,69,1
3,0,0,0,2,2,67,1
1,0,0,1,0,1,62,0
3,0,2,3,0,0,68,1
3,1,3,3,0,2,72,1
1,3,2,0,2,3,69,1
3,1,0,3,2,0,66,1
2,2,0,0,0,1,70,1
3,2,2,2,0,1,71,1
0,2,1,3,0,1,65,1
2,1,0,2,2,1,70,1
3,2,1,1,1,2,65,1
0,1,1,1,0,1,62,0
0,0,0,1,1,0,62,0
0,3,2,3,0,1,70,1
1,0,0,3,2,1,66,1
2,0,1,3,2,2,67,1
3,3,3,1,0,1,72,1
1,1,1,3,0,1,66,1
3,2,2,0,1,0,68,1
0,1,0,0,0,2,62,0
0,1,2,2,1,1,64,0
1,0,2,1,0,3,65,1
2,1,0,0,2,1,66,1
1,1,1,0,1,1,64,0
0,2,1,2,2,1,67,1
1,1,1,1,2,2,69,1
0,3,2,0,0,3,68,1
2,0,0,1,1,2,64,0
2,1,1,1,1,0,68,1
0,2,3,2,0,1,64,0
1,3,3,3,0,0,71,1
0,0,2,1,2,0,61,0
1,2,1,3,2,1,68,1
3,3,3,0,1,3,73,1
0,0,3,0,2,0,64,0
2,3,1,2,2,2,72,1
1,0,1,2,2,1,65,1
0,2,0,1,0,2,68,1
1,3,2,1,1,1,71,1
0,2,2,3,2,1,65,1
1,1,2,3,1,0,66,1
0,0,1,3,2,0,63,0
3,3,0,2,0,1,74,1
1,1,1,2,1,2,66,1
0,0,2,3,1,1,63,0
2,2,0,3,1,2,72,1
1,1,1,3,0,0,69,1
1,0,3,3,0,2,67,1
2,0,0,2,2,1,66,1
3,0,1,1,0,3,64,0
1,2,3,2,2,0,67,1
1,2,1,3,2,1,69,1
1,1,0,1,1,0,65,1
0,3,1,0,0,0,64,0
0,3,2,1,0,2,65,1
3,2,1,3,1,0,72,1
3,0,2,3,1,0,66,1
1,2,1,0,1,1,66,1
2,1,1,0,0,1,67,1
2,2,2,2,0,1,69,1
3,2,1,2,2,1,73,1
3,1,0,0,2,1,69,1
1,3,2,3,0,2,68,1
0,0,1,2,0,1,61,0
0,2,0,2,0,2,63,0
2,0,2,3,0,0,63,0
0,3,3,1,0,0,68,1
0,0,1,2,1,1,63,0
0,0,1,2,2,2,66,1
0,1,0,3,1,2,65,1
3,1,1,0,0,0,68,1
3,0,1,2,0,2,66,1
1,2,1,2,1,3,66,1
3,1,0,3,1,2,70,1
1,0,2,3,0,0,61,0
0,1,1,0,1,1,61,0
3,3,3,0,0,2,71,1
2,2,1,0,0,0,67,1
0,2,0,1,1,1,70,1
1,2,0,3,1,2,69,1
0,1,2,0,1,2,65,1
0,0,0,1,0,0,61,0
3,1,0,3,2,2,68,1
3,3,0,3,1,0,74,1
0,3,0,2,0,1,67,1
2,1,1,3,2,0,70,1
0,0,2,1,0,0,59,0
1,0,0,1,0,0,64,0
0,1,2,0,1,2,66,1
0,2,0,1,0,1,63,0
1,0,2,1,0,1,61,0
0,3,2,1,1,2,68,1
2,1,0,0,2,1,65,1
1,3,0,0,0,2,69,1
1,3,2,0,1,2,68,1
0,2,0,3,1,0,69,1
1,2,1,3,0,0,67,1
3,2,2,0,0,0,70,1
2,2,2,0,0,1,68,1
0,2,0,3,0,2,67,1
2,2,1,0,2,1,67,1
3,3,0,3,0,1,75,1
0,2,2,1,2,2,63,0
2,3,3,2,0,3,70,1
0,3,0,2,1,2,70,1
2,0,1,0,0,2,64,0
0,0,2,0,0,1,59,0
0,1,1,3,0,1,63,0
0,2,2,3,1,2,67,1
1,3,1,2,0,0,68,1
2,1,0,3,0,1,68,1
0,2,1,3,1,0,97,1
2,2,3,0,0,2,66,1
0,0,1,1,2,1,61,0
1,2,3,0,1,1,70,1
0,3,0,0,0,0,65,1
0,0,2,2,2,0,64,0
1,2,0,0,1,2,69,1
0,2,0,0,0,0,64,0
1,0,3,1,1,0,61,0
3,0,1,0,2,0,64,0
1,3,0,0,0,1,68,1
3,1,2,0,0,1,67,1
0,0,0,3,2,1,62,0
2,0,3,3,1,0,66,1
3,2,3,3,0,2,72,1
0,2,2,3,2,1,68,1
0,2,2,3,2,1,71,1
2,0,1,0,2,0,65,1
1,3,0,3,1,1,68,1
2,1,3,2,1,3,65,1
0,1,2,0,0,2,64,0
2,1,2,2,1,2,65,1
1,1,2,1,0,2,65,1
3,3,1,0,2,1,73,1
2,3,0,0,0,1,72,1
2,1,3,1,0,0,64,0
1,3,1,3,0,2,69,1
1,3,0,1,0,1,69,1
1,3,3,2,0,0,70,1
2,0,1,0,0,1,83,1
1,2,1,1,2,3,68,1
2,1,3,0,0,1,84,1
3,3,2,3,0,1,75,1
3,0,2,3,0,3,67,1
1,2,0,1,0,2,69,1
3,1,2,3,2,2,71,1
1,1,0,2,0,3,66,1
0,2,0,0,0,0,65,1
0,3,1,1,0,3,70,1
0,2,1,3,0,2,66,1
1,3,2,2,2,2,74,1
1,1,2,2,0,2,66,1
3,2,2,1,0,0,68,1
2,1,0,1,1,0,68,1
1,0,3,0,0,1,62,0
3,2,1,2,1,0,71,1
0,2,3,2,1,0,63,0
2,2,0,3,1,1,69,1
3,2,1,2,2,0,71,1
0,2,0,1,0,0,66,1
3,0,0,0,0,0,64,0
2,0,1,3,2,0,65,1
1,2,0,1,2,0,69,1
2,1,3,2,1,1,66,1
3,0,3,0,0,2,67,1
2,1,0,0,2,3,65,1
2,2,0,0,2,0,65,1
1,1,0,3,0,2,67,1
0,2,3,2,0,1,66,1
3,2,1,2,0,0,69,1
0,1,1,3,0,0,64,0
1,2,1,0,0,2,70,1
1,2,1,0,2,1,68,1
2,2,0,0,0,0,68,1
2,2,1,1,0,1,69,1
3,0,1,3,2,0,68,1
1,2,2,3,2,0,70,1
1,1,0,2,1,1,67,1
0,3,1,2,2,1,72,1
1,3,0,3,0,2,69,1
2,2,1,2,0,1,69,1
3,0,2,0,2,2,64,0
0,0,0,2,1,1,63,0
3,1,3,2,2,1,70,1
3,1,0,2,0,1,70,1
2,1,3,1,0,0,66,1
3,2,3,1,0,2,70,1
0,0,0,1,0,0,66,1
0,3,0,0,0,3,68,1
0,0,0,1,0,2,61,0
3,3,2,0,0,2,72,1
2,3,1,1,0,0,69,1
1,2,0,0,0,2,63,0
2,2,0,3,1,3,72,1
0,1,3,0,0,2,65,1
3,2,0,1,0,3,74,1
2,1,1,0,0,2,62,0
2,1,1,0,0,2,65,1
2,2,0,2,0,2,68,1
2,1,0,0,2,0,66,1
2,2,0,2,2,2,71,1
0,1,2,0,0,0,62,0
2,1,0,1,0,0,65,1
3,0,3,2,0,1,68,1
3,0,0,3,2,1,70,1
3,0,2,1,0,0,67,1
1,0,0,3,1,2,63,0
0,0,0,3,0,0,63,0
1,3,0,1,0,1,69,1
1,0,0,3,2,1,66,1
3,2,1,2,1,1,70,1
0,1,1,0,1,1,63,0
3,3,0,3,0,2,72,1
1,1,3,0,0,1,65,1
1,1,1,1,1,2,67,1
0,2,1,1,0,1,63,0
0,1,3,2,2,3,65,1
3,2,2,2,1,0,67,1
1,0,1,0,0,0,80,1
0,3,0,1,1,1,68,1
0,1,2,0,1,0,63,0
1,1,0,0,0,1,64,0
3,2,3,3,2,1,73,1
1,1,0,2,1,0,66,1
0,3,0,1,1,1,66,1
1,1,0,0,0,2,66,1
1,2,0,1,2,0,69,1
0,0,1,1,0,2,59,0
1,3,1,3,0,0,68,1
1,2,0,0,0,1,67,1
2,0,3,1,0,2,64,0
3,0,2,2,0,2,65,1
3,1,1,3,0,2,68,1
1,3,0,0,0,1,70,1
0,0,2,0,1,0,62,0
3,1,3,3,0,0,72,1
1,0,1,1,0,2,62,0
1,1,0,2,0,2,68,1
1,2,1,3,2,2,69,1
2,3,0,1,2,3,73,1
1,2,2,0,2,3,69,1
1,3,3,1,0,1,67,1
1,2,0,2,1,1,65,1
1,0,0,3,1,1,63,0
1,1,1,2,1,0,66,1
0,2,0,1,0,0,66,1
2,3,0,0,0,0,70,1
1,3,0,1,1,1,69,1
3,0,0,3,0,2,70,1
0,0,3,3,1,1,58,0
3,0,3,1,2,1,67,1
3,3,3,1,0,1,73,1
0,3,2,3,0,0,66,1
1,3,1,1,0,1,70,1
1,1,0,2,0,0,67,1
0,1,3,1,0,1,60,0
0,1,2,0,0,1,65,1
0,0,0,0,0,0,63,0
3,1,0,0,0,1,72,1
3,0,0,0,0,3,62,0
3,0,0,1,2,1,70,1
2,3,2,0,1,0,70,1
0,2,0,0,0,2,64,0
1,1,0,0,2,2,64,0
2,2,1,1,0,3,67,1
0,1,1,2,0,0,64,0
2,2,0,3,0,2,72,1
1,3,3,1,0,1,66,1
1,3,0,0,1,2,66,1
2,2,0,1,0,0,71,1
2,0,2,3,2,3,66,1
1,1,0,1,1,0,64,0
3,1,0,1,0,0,66,1
0,1,0,3,0,1,62,0
2,2,2,1,2,2,70,1
2,1,1,3,2,1,69,1
1,0,1,3,1,2,65,1
2,1,0,2,1,1,70,1
0,3,0,2,0,1,70,1
3,0,1,0,0,0,67,1
1,2,2,2,1,1,69,1
1,1,3,1,0,3,62,0
3,0,3,1,0,2,67,1
0,1,2,0,0,3,65,1
0,2,2,1,0,2,65,1
0,2,0,2,0,1,65,1
2,3,0,1,2,0,69,1
0,1,2,1,2,2,63,0
3,0,1,1,2,0,66,1
0,3,2,2,0,0,67,1
3,1,2,1,0,1,69,1
2,2,2,1,0,0,67,1
1,3,0,2,0,2,70,1
1,1,1,3,1,0,67,1
2,2,0,2,1,2,70,1
1,0,0,3,0,1,65,1
3,1,0,1,0,1,63,0
2,0,1,0,0,1,64,0
2,3,0,2,0,1,69,1
1,0,2,0,0,2,60,0
1,2,3,3,2,1,69,1
2,3,2,1,2,0,72,1
0,2,1,2,0,0,63,0
0,2,3,2,0,0,63,0
2,1,1,0,0,2,66,1
2,1,0,2,2,3,70,1
1,1,1,3,0,2,68,1
1,2,3,3,1,1,69,1
2,3,0,1,0,2,72,1
1,3,0,1,0,1,67,1
0,3,2,3,0,2,68,1
2,3,1,0,0,0,70,1
0,1,0,0,2,1,68,1
2,2,0,0,1,1,69,1
0,3,0,3,0,3,68,1
3,1,0,1,0,3,66,1
2,3,3,2,0,2,72,1
2,1,1,1,1,1,67,1
3,2,0,0,2,0,70,1
3,2,3,3,0,1,73,1
3,3,3,1,0,3,73,1
0,0,3,2,0,0,60,0
0,2,0,0,1,1,67,1
0,2,1,1,2,2,69,1
1,1,1,2,0,3,65,1
2,3,3,1,1,2,70,1
0,2,0,1,2,1,68,1
2,2,0,0,0,0,66,1
0,1,2,3,0,2,65,1
0,1,3,2,0,0,64,0
0,2,1,2,0,0,67,1
0,1,2,0,2,3,65,1
0,0,1,1,0,2,64,0
0,3,1,0,0,0,67,1
3,1,0,1,1,2,70,1
0,2,0,1,2,1,63,0
3,1,0,3,0,0,71,1
2,1,0,3,1,1,68,1
2,1,1,2,0,0,67,1
0,1,3,2,0,0,67,1
2,2,1,1,0,0,68,1
1,2,0,0,0,1,66,1
2,1,2,3,0,2,68,1
3,0,1,2,0,0,70,1
1,1,2,2,2,1,67,1
3,0,0,3,1,1,67,1
0,0,3,3,1,0,62,0
1,3,3,1,0,1,67,1
3,2,1,1,2,2,70,1
0,2,2,3,2,2,72,1
3,1,3,2,1,1,70,1
2,3,0,3,1,0,94,1
1,2,1,0,1,1,66,1
2,3,1,1,1,1,69,1
3,1,0,1,0,0,68,1
2,3,2,1,1,0,71,1
0,3,3,3,2,2,69,1
0,3,1,2,1,1,67,1
1,0,2,3,1,0,64,0
1,1,3,1,0,3,63,0
2,1,0,0,1,1,66,1
2,1,2,0,1,0,66,1
0,3,0,0,2,2,69,1
2,0,0,2,2,2,64,0
2,0,2,0,0,1,62,0
2,1,1,1,2,3,66,1
3,0,2,3,2,1,70,1
3,0,1,0,1,2,67,1
2,3,2,0,0,0,68,1
1,2,3,2,0,1,67,1
0,0,3,2,0,2,62,0
2,1,2,3,0,0,67,1
2,1,2,2,0,3,68,1
2,0,1,3,1,2,64,0
0,2,1,0,1,2,64,0
0,2,2,1,1,1,66,1
3,2,1,3,1,0,72,1
1,2,2,3,1,1,72,1
2,0,3,2,1,1,66,1
1,3,1,1,2,0,72,1
1,3,0,0,0,1,69,1
3,3,3,1,1,1,72,1
1,0,0,0,0,2,60,0
2,3,1,0,0,0,69,1
1,3,2,3,0,1,68,1
1,3,3,0,2,0,69,1
1,0,3,1,0,3,62,0
2,2,0,3,1,0,71,1
1,3,3,1,0,0,70,1
3,2,1,0,1,2,68,1
0,2,3,2,0,0,68,1
1,3,3,3,0,0,70,1
1,1,1,1,0,1,65,1
3,2,0,3,0,1,73,1
2,1,0,1,0,2,66,1
3,3,2,2,1,1,71,1
0,0,3,0,1,1,62,0
2,1,2,1,1,1,68,1
3,2,0,2,0,2,70,1
1,3,0,2,0,0,68,1
3,2,2,2,1,0,71,1
1,3,3,3,1,2,70,1
3,3,1,0,0,1,72,1
3,0,3,2,1,0,69,1
1,1,0,0,0,0,63,0
1,0,1,1,0,0,62,0
3,1,1,2,1,1,68,1
3,2,3,0,1,3,70,1
1,3,0,0,0,2,69,1
1,3,3,3,1,0,68,1
1,0,1,1,1,0,65,1
0,0,0,1,2,0,59,0
0,2,0,2,2,1,66,1
0,2,0,0,0,2,64,0
0,1,2,0,2,2,63,0
1,3,0,1,2,1,72,1
2,3,0,0,0,1,67,1
3,1,2,3,1,0,94,1
0,3,0,3,1,1,70,1
3,1,0,1,0,1,66,1
1,2,0,0,2,0,69,1
1,1,0,1,1,0,64,0
2,0,1,0,0,1,63,0
0,3,1,1,0,2,71,1
2,1,1,0,0,1,65,1
2,2,3,2,0,3,68,1
2,1,1,1,0,1,64,0
2,0,3,2,0,0,64,0
3,0,2,0,1,3,66,1
0,1,0,2,0,2,68,1
1,2,3,0,2,3,67,1
0,1,1,3,0,1,66,1
1,2,3,1,1,1,68,1
0,2,1,0,2,1,66,1
3,2,1,1,2,2,71,1
3,1,2,0,2,2,71,1
1,3,1,2,0,2,68,1
0,1,3,0,2,1,64,0
2,1,3,1,2,2,67,1
1,0,0,1,0,0,64,0
2,1,2,2,2,0,68,1
2,0,0,1,0,1,62,0
0,2,0,3,0,0,64,0
3,0,2,3,2,1,70,1
3,1,2,3,0,2,68,1
0,3,2,0,1,1,69,1
1,1,2,2,2,2,65,1
2,0,2,1,1,1,67,1
